Date,delegacion_inicio,value
2017-12-01,ALVARO OBREGON,155
2017-12-01,AZCAPOTZALCO,138
2017-12-01,BENITO JUAREZ,153
2017-12-01,COYOACAN,244
2017-12-01,CUAJIMALPA,36
2017-12-01,CUAUHTEMOC,345
2017-12-01,GUSTAVO A. MADERO,300
2017-12-01,IZTACALCO,103
2017-12-01,IZTAPALAPA,516
2017-12-01,MAGDALENA CONTRERAS,45
2017-12-01,MIGUEL HIDALGO,148
2017-12-01,MILPA ALTA,15
2017-12-01,TLAHUAC,99
2017-12-01,TLALPAN,160
2017-12-01,VENUSTIANO CARRANZA,246
2017-12-01,XOCHIMILCO,168
2017-01-01,ALVARO OBREGON,164
2017-01-01,AZCAPOTZALCO,112
2017-01-01,BENITO JUAREZ,133
2017-01-01,COYOACAN,180
2017-01-01,CUAJIMALPA,28
2017-01-01,CUAUHTEMOC,281
2017-01-01,GUSTAVO A. MADERO,287
2017-01-01,IZTACALCO,111
2017-01-01,IZTAPALAPA,541
2017-01-01,MAGDALENA CONTRERAS,36
2017-01-01,MIGUEL HIDALGO,171
2017-01-01,MILPA ALTA,14
2017-01-01,TLAHUAC,81
2017-01-01,TLALPAN,143
2017-01-01,VENUSTIANO CARRANZA,147
2017-01-01,XOCHIMILCO,104
2017-02-01,ALVARO OBREGON,144
2017-02-01,AZCAPOTZALCO,165
2017-02-01,BENITO JUAREZ,160
2017-02-01,COYOACAN,277
2017-02-01,CUAJIMALPA,33
2017-02-01,CUAUHTEMOC,351
2017-02-01,GUSTAVO A. MADERO,223
2017-02-01,IZTACALCO,142
2017-02-01,IZTAPALAPA,468
2017-02-01,MAGDALENA CONTRERAS,53
2017-02-01,MIGUEL HIDALGO,171
2017-02-01,MILPA ALTA,13
2017-02-01,TLAHUAC,60
2017-02-01,TLALPAN,119
2017-02-01,VENUSTIANO CARRANZA,175
2017-02-01,XOCHIMILCO,95
2017-07-01,ALVARO OBREGON,170
2017-07-01,AZCAPOTZALCO,98
2017-07-01,BENITO JUAREZ,249
2017-07-01,COYOACAN,166
2017-07-01,CUAJIMALPA,37
2017-07-01,CUAUHTEMOC,370
2017-07-01,GUSTAVO A. MADERO,251
2017-07-01,IZTACALCO,131
2017-07-01,IZTAPALAPA,383
2017-07-01,MAGDALENA CONTRERAS,24
2017-07-01,MIGUEL HIDALGO,141
2017-07-01,MILPA ALTA,13
2017-07-01,TLAHUAC,55
2017-07-01,TLALPAN,99
2017-07-01,VENUSTIANO CARRANZA,174
2017-07-01,XOCHIMILCO,85
2017-06-01,ALVARO OBREGON,152
2017-06-01,AZCAPOTZALCO,95
2017-06-01,BENITO JUAREZ,197
2017-06-01,COYOACAN,186
2017-06-01,CUAJIMALPA,23
2017-06-01,CUAUHTEMOC,343
2017-06-01,GUSTAVO A. MADERO,276
2017-06-01,IZTACALCO,110
2017-06-01,IZTAPALAPA,476
2017-06-01,MAGDALENA CONTRERAS,41
2017-06-01,MIGUEL HIDALGO,184
2017-06-01,MILPA ALTA,7
2017-06-01,TLAHUAC,80
2017-06-01,TLALPAN,135
2017-06-01,VENUSTIANO CARRANZA,167
2017-06-01,XOCHIMILCO,130
2017-03-01,ALVARO OBREGON,161
2017-03-01,AZCAPOTZALCO,140
2017-03-01,BENITO JUAREZ,130
2017-03-01,COYOACAN,170
2017-03-01,CUAJIMALPA,33
2017-03-01,CUAUHTEMOC,412
2017-03-01,GUSTAVO A. MADERO,296
2017-03-01,IZTACALCO,99
2017-03-01,IZTAPALAPA,467
2017-03-01,MAGDALENA CONTRERAS,47
2017-03-01,MIGUEL HIDALGO,142
2017-03-01,MILPA ALTA,13
2017-03-01,TLAHUAC,95
2017-03-01,TLALPAN,153
2017-03-01,VENUSTIANO CARRANZA,211
2017-03-01,XOCHIMILCO,111
2017-05-01,ALVARO OBREGON,209
2017-05-01,AZCAPOTZALCO,141
2017-05-01,BENITO JUAREZ,174
2017-05-01,COYOACAN,219
2017-05-01,CUAJIMALPA,32
2017-05-01,CUAUHTEMOC,314
2017-05-01,GUSTAVO A. MADERO,323
2017-05-01,IZTACALCO,137
2017-05-01,IZTAPALAPA,516
2017-05-01,MAGDALENA CONTRERAS,24
2017-05-01,MIGUEL HIDALGO,206
2017-05-01,MILPA ALTA,8
2017-05-01,TLAHUAC,77
2017-05-01,TLALPAN,112
2017-05-01,VENUSTIANO CARRANZA,185
2017-05-01,XOCHIMILCO,89
2017-11-01,ALVARO OBREGON,233
2017-11-01,AZCAPOTZALCO,166
2017-11-01,BENITO JUAREZ,193
2017-11-01,COYOACAN,285
2017-11-01,CUAJIMALPA,38
2017-11-01,CUAUHTEMOC,451
2017-11-01,GUSTAVO A. MADERO,456
2017-11-01,IZTACALCO,135
2017-11-01,IZTAPALAPA,405
2017-11-01,MAGDALENA CONTRERAS,47
2017-11-01,MIGUEL HIDALGO,189
2017-11-01,MILPA ALTA,4
2017-11-01,TLAHUAC,87
2017-11-01,TLALPAN,211
2017-11-01,VENUSTIANO CARRANZA,214
2017-11-01,XOCHIMILCO,113
2017-10-01,ALVARO OBREGON,213
2017-10-01,AZCAPOTZALCO,152
2017-10-01,BENITO JUAREZ,209
2017-10-01,COYOACAN,203
2017-10-01,CUAJIMALPA,35
2017-10-01,CUAUHTEMOC,356
2017-10-01,GUSTAVO A. MADERO,250
2017-10-01,IZTACALCO,100
2017-10-01,IZTAPALAPA,661
2017-10-01,MAGDALENA CONTRERAS,34
2017-10-01,MIGUEL HIDALGO,173
2017-10-01,MILPA ALTA,6
2017-10-01,TLAHUAC,86
2017-10-01,TLALPAN,147
2017-10-01,VENUSTIANO CARRANZA,174
2017-10-01,XOCHIMILCO,93
2017-09-01,ALVARO OBREGON,119
2017-09-01,AZCAPOTZALCO,126
2017-09-01,BENITO JUAREZ,200
2017-09-01,COYOACAN,159
2017-09-01,CUAJIMALPA,29
2017-09-01,CUAUHTEMOC,359
2017-09-01,GUSTAVO A. MADERO,311
2017-09-01,IZTACALCO,138
2017-09-01,IZTAPALAPA,440
2017-09-01,MAGDALENA CONTRERAS,33
2017-09-01,MIGUEL HIDALGO,120
2017-09-01,MILPA ALTA,11
2017-09-01,TLAHUAC,77
2017-09-01,TLALPAN,130
2017-09-01,VENUSTIANO CARRANZA,156
2017-09-01,XOCHIMILCO,109
2018-04-01,ALVARO OBREGON,153
2018-04-01,AZCAPOTZALCO,141
2018-04-01,BENITO JUAREZ,202
2018-04-01,COYOACAN,209
2018-04-01,CUAJIMALPA,38
2018-04-01,CUAUHTEMOC,309
2018-04-01,GUSTAVO A. MADERO,247
2018-04-01,IZTACALCO,112
2018-04-01,IZTAPALAPA,508
2018-04-01,MAGDALENA CONTRERAS,40
2018-04-01,MIGUEL HIDALGO,180
2018-04-01,MILPA ALTA,11
2018-04-01,TLAHUAC,100
2018-04-01,TLALPAN,120
2018-04-01,VENUSTIANO CARRANZA,132
2018-04-01,XOCHIMILCO,83
2018-08-01,ALVARO OBREGON,211
2018-08-01,AZCAPOTZALCO,96
2018-08-01,BENITO JUAREZ,203
2018-08-01,COYOACAN,192
2018-08-01,CUAJIMALPA,18
2018-08-01,CUAUHTEMOC,361
2018-08-01,GUSTAVO A. MADERO,335
2018-08-01,IZTACALCO,138
2018-08-01,IZTAPALAPA,609
2018-08-01,MAGDALENA CONTRERAS,27
2018-08-01,MIGUEL HIDALGO,168
2018-08-01,MILPA ALTA,19
2018-08-01,TLAHUAC,76
2018-08-01,TLALPAN,152
2018-08-01,VENUSTIANO CARRANZA,185
2018-08-01,XOCHIMILCO,89
2018-12-01,ALVARO OBREGON,140
2018-12-01,AZCAPOTZALCO,105
2018-12-01,BENITO JUAREZ,193
2018-12-01,COYOACAN,180
2018-12-01,CUAJIMALPA,34
2018-12-01,CUAUHTEMOC,511
2018-12-01,GUSTAVO A. MADERO,329
2018-12-01,IZTACALCO,105
2018-12-01,IZTAPALAPA,493
2018-12-01,MAGDALENA CONTRERAS,45
2018-12-01,MIGUEL HIDALGO,149
2018-12-01,MILPA ALTA,17
2018-12-01,TLAHUAC,66
2018-12-01,TLALPAN,205
2018-12-01,VENUSTIANO CARRANZA,198
2018-12-01,XOCHIMILCO,152
2018-01-01,ALVARO OBREGON,127
2018-01-01,AZCAPOTZALCO,90
2018-01-01,BENITO JUAREZ,178
2018-01-01,COYOACAN,177
2018-01-01,CUAJIMALPA,50
2018-01-01,CUAUHTEMOC,305
2018-01-01,GUSTAVO A. MADERO,300
2018-01-01,IZTACALCO,98
2018-01-01,IZTAPALAPA,443
2018-01-01,MAGDALENA CONTRERAS,54
2018-01-01,MIGUEL HIDALGO,142
2018-01-01,MILPA ALTA,26
2018-01-01,TLAHUAC,47
2018-01-01,TLALPAN,129
2018-01-01,VENUSTIANO CARRANZA,180
2018-01-01,XOCHIMILCO,101
2018-02-01,ALVARO OBREGON,131
2018-02-01,AZCAPOTZALCO,86
2018-02-01,BENITO JUAREZ,173
2018-02-01,COYOACAN,195
2018-02-01,CUAJIMALPA,44
2018-02-01,CUAUHTEMOC,346
2018-02-01,GUSTAVO A. MADERO,281
2018-02-01,IZTACALCO,127
2018-02-01,IZTAPALAPA,490
2018-02-01,MAGDALENA CONTRERAS,48
2018-02-01,MIGUEL HIDALGO,145
2018-02-01,MILPA ALTA,10
2018-02-01,TLAHUAC,67
2018-02-01,TLALPAN,111
2018-02-01,VENUSTIANO CARRANZA,172
2018-02-01,XOCHIMILCO,123
2018-07-01,ALVARO OBREGON,133
2018-07-01,AZCAPOTZALCO,114
2018-07-01,BENITO JUAREZ,185
2018-07-01,COYOACAN,150
2018-07-01,CUAJIMALPA,27
2018-07-01,CUAUHTEMOC,365
2018-07-01,GUSTAVO A. MADERO,291
2018-07-01,IZTACALCO,114
2018-07-01,IZTAPALAPA,379
2018-07-01,MAGDALENA CONTRERAS,9
2018-07-01,MIGUEL HIDALGO,162
2018-07-01,MILPA ALTA,20
2018-07-01,TLAHUAC,73
2018-07-01,TLALPAN,86
2018-07-01,VENUSTIANO CARRANZA,140
2018-07-01,XOCHIMILCO,149
2018-06-01,ALVARO OBREGON,241
2018-06-01,AZCAPOTZALCO,116
2018-06-01,BENITO JUAREZ,161
2018-06-01,COYOACAN,285
2018-06-01,CUAJIMALPA,72
2018-06-01,CUAUHTEMOC,354
2018-06-01,GUSTAVO A. MADERO,341
2018-06-01,IZTACALCO,129
2018-06-01,IZTAPALAPA,453
2018-06-01,MAGDALENA CONTRERAS,22
2018-06-01,MIGUEL HIDALGO,152
2018-06-01,MILPA ALTA,10
2018-06-01,TLAHUAC,59
2018-06-01,TLALPAN,137
2018-06-01,VENUSTIANO CARRANZA,158
2018-06-01,XOCHIMILCO,146
2018-03-01,ALVARO OBREGON,177
2018-03-01,AZCAPOTZALCO,152
2018-03-01,BENITO JUAREZ,170
2018-03-01,COYOACAN,187
2018-03-01,CUAJIMALPA,22
2018-03-01,CUAUHTEMOC,417
2018-03-01,GUSTAVO A. MADERO,254
2018-03-01,IZTACALCO,99
2018-03-01,IZTAPALAPA,469
2018-03-01,MAGDALENA CONTRERAS,48
2018-03-01,MIGUEL HIDALGO,177
2018-03-01,MILPA ALTA,11
2018-03-01,TLAHUAC,80
2018-03-01,TLALPAN,163
2018-03-01,VENUSTIANO CARRANZA,159
2018-03-01,XOCHIMILCO,149
2018-05-01,ALVARO OBREGON,209
2018-05-01,AZCAPOTZALCO,105
2018-05-01,BENITO JUAREZ,198
2018-05-01,COYOACAN,173
2018-05-01,CUAJIMALPA,47
2018-05-01,CUAUHTEMOC,400
2018-05-01,GUSTAVO A. MADERO,429
2018-05-01,IZTACALCO,190
2018-05-01,IZTAPALAPA,544
2018-05-01,MAGDALENA CONTRERAS,27
2018-05-01,MIGUEL HIDALGO,217
2018-05-01,MILPA ALTA,1
2018-05-01,TLAHUAC,53
2018-05-01,TLALPAN,103
2018-05-01,VENUSTIANO CARRANZA,134
2018-05-01,XOCHIMILCO,191
2018-11-01,ALVARO OBREGON,173
2018-11-01,AZCAPOTZALCO,125
2018-11-01,BENITO JUAREZ,208
2018-11-01,COYOACAN,205
2018-11-01,CUAJIMALPA,62
2018-11-01,CUAUHTEMOC,384
2018-11-01,GUSTAVO A. MADERO,253
2018-11-01,IZTACALCO,120
2018-11-01,IZTAPALAPA,486
2018-11-01,MAGDALENA CONTRERAS,53
2018-11-01,MIGUEL HIDALGO,194
2018-11-01,MILPA ALTA,13
2018-11-01,TLAHUAC,60
2018-11-01,TLALPAN,131
2018-11-01,VENUSTIANO CARRANZA,146
2018-11-01,XOCHIMILCO,131
2018-10-01,ALVARO OBREGON,188
2018-10-01,AZCAPOTZALCO,121
2018-10-01,BENITO JUAREZ,180
2018-10-01,COYOACAN,186
2018-10-01,CUAJIMALPA,33
2018-10-01,CUAUHTEMOC,403
2018-10-01,GUSTAVO A. MADERO,408
2018-10-01,IZTACALCO,132
2018-10-01,IZTAPALAPA,536
2018-10-01,MAGDALENA CONTRERAS,26
2018-10-01,MIGUEL HIDALGO,188
2018-10-01,MILPA ALTA,29
2018-10-01,TLAHUAC,69
2018-10-01,TLALPAN,170
2018-10-01,VENUSTIANO CARRANZA,156
2018-10-01,XOCHIMILCO,116
2018-09-01,ALVARO OBREGON,178
2018-09-01,AZCAPOTZALCO,156
2018-09-01,BENITO JUAREZ,219
2018-09-01,COYOACAN,214
2018-09-01,CUAJIMALPA,43
2018-09-01,CUAUHTEMOC,389
2018-09-01,GUSTAVO A. MADERO,347
2018-09-01,IZTACALCO,121
2018-09-01,IZTAPALAPA,370
2018-09-01,MAGDALENA CONTRERAS,44
2018-09-01,MIGUEL HIDALGO,222
2018-09-01,MILPA ALTA,9
2018-09-01,TLAHUAC,86
2018-09-01,TLALPAN,68
2018-09-01,VENUSTIANO CARRANZA,143
2018-09-01,XOCHIMILCO,98
2019-04-01,ALVARO OBREGON,147
2019-04-01,AZCAPOTZALCO,95
2019-04-01,BENITO JUAREZ,106
2019-04-01,COYOACAN,169
2019-04-01,CUAJIMALPA,33
2019-04-01,CUAUHTEMOC,290
2019-04-01,GUSTAVO A. MADERO,256
2019-04-01,IZTACALCO,120
2019-04-01,IZTAPALAPA,318
2019-04-01,MAGDALENA CONTRERAS,23
2019-04-01,MIGUEL HIDALGO,99
2019-04-01,MILPA ALTA,11
2019-04-01,TLAHUAC,73
2019-04-01,TLALPAN,111
2019-04-01,VENUSTIANO CARRANZA,159
2019-04-01,XOCHIMILCO,62
2019-08-01,ALVARO OBREGON,209
2019-08-01,AZCAPOTZALCO,91
2019-08-01,BENITO JUAREZ,162
2019-08-01,COYOACAN,230
2019-08-01,CUAJIMALPA,36
2019-08-01,CUAUHTEMOC,291
2019-08-01,GUSTAVO A. MADERO,211
2019-08-01,IZTACALCO,167
2019-08-01,IZTAPALAPA,382
2019-08-01,MAGDALENA CONTRERAS,22
2019-08-01,MIGUEL HIDALGO,170
2019-08-01,MILPA ALTA,17
2019-08-01,TLAHUAC,70
2019-08-01,TLALPAN,170
2019-08-01,VENUSTIANO CARRANZA,164
2019-08-01,XOCHIMILCO,111
2019-12-01,ALVARO OBREGON,115
2019-12-01,AZCAPOTZALCO,136
2019-12-01,BENITO JUAREZ,162
2019-12-01,COYOACAN,199
2019-12-01,CUAJIMALPA,39
2019-12-01,CUAUHTEMOC,398
2019-12-01,GUSTAVO A. MADERO,332
2019-12-01,IZTACALCO,167
2019-12-01,IZTAPALAPA,460
2019-12-01,MAGDALENA CONTRERAS,39
2019-12-01,MIGUEL HIDALGO,166
2019-12-01,MILPA ALTA,25
2019-12-01,TLAHUAC,60
2019-12-01,TLALPAN,146
2019-12-01,VENUSTIANO CARRANZA,230
2019-12-01,XOCHIMILCO,79
2019-01-01,ALVARO OBREGON,218
2019-01-01,AZCAPOTZALCO,88
2019-01-01,BENITO JUAREZ,146
2019-01-01,COYOACAN,203
2019-01-01,CUAJIMALPA,54
2019-01-01,CUAUHTEMOC,327
2019-01-01,GUSTAVO A. MADERO,209
2019-01-01,IZTACALCO,126
2019-01-01,IZTAPALAPA,445
2019-01-01,MAGDALENA CONTRERAS,33
2019-01-01,MIGUEL HIDALGO,155
2019-01-01,MILPA ALTA,17
2019-01-01,TLAHUAC,90
2019-01-01,TLALPAN,123
2019-01-01,VENUSTIANO CARRANZA,128
2019-01-01,XOCHIMILCO,106
2019-02-01,ALVARO OBREGON,120
2019-02-01,AZCAPOTZALCO,76
2019-02-01,BENITO JUAREZ,197
2019-02-01,COYOACAN,161
2019-02-01,CUAJIMALPA,34
2019-02-01,CUAUHTEMOC,303
2019-02-01,GUSTAVO A. MADERO,325
2019-02-01,IZTACALCO,124
2019-02-01,IZTAPALAPA,435
2019-02-01,MAGDALENA CONTRERAS,38
2019-02-01,MIGUEL HIDALGO,160
2019-02-01,MILPA ALTA,10
2019-02-01,TLAHUAC,55
2019-02-01,TLALPAN,107
2019-02-01,VENUSTIANO CARRANZA,143
2019-02-01,XOCHIMILCO,111
2019-07-01,ALVARO OBREGON,126
2019-07-01,AZCAPOTZALCO,65
2019-07-01,BENITO JUAREZ,175
2019-07-01,COYOACAN,166
2019-07-01,CUAJIMALPA,18
2019-07-01,CUAUHTEMOC,295
2019-07-01,GUSTAVO A. MADERO,168
2019-07-01,IZTACALCO,89
2019-07-01,IZTAPALAPA,348
2019-07-01,MAGDALENA CONTRERAS,22
2019-07-01,MIGUEL HIDALGO,162
2019-07-01,MILPA ALTA,2
2019-07-01,TLAHUAC,59
2019-07-01,TLALPAN,132
2019-07-01,VENUSTIANO CARRANZA,148
2019-07-01,XOCHIMILCO,95
2019-06-01,ALVARO OBREGON,166
2019-06-01,AZCAPOTZALCO,72
2019-06-01,BENITO JUAREZ,125
2019-06-01,COYOACAN,190
2019-06-01,CUAJIMALPA,9
2019-06-01,CUAUHTEMOC,344
2019-06-01,GUSTAVO A. MADERO,253
2019-06-01,IZTACALCO,122
2019-06-01,IZTAPALAPA,409
2019-06-01,MAGDALENA CONTRERAS,44
2019-06-01,MIGUEL HIDALGO,135
2019-06-01,MILPA ALTA,20
2019-06-01,TLAHUAC,68
2019-06-01,TLALPAN,131
2019-06-01,VENUSTIANO CARRANZA,185
2019-06-01,XOCHIMILCO,64
2019-03-01,ALVARO OBREGON,190
2019-03-01,AZCAPOTZALCO,99
2019-03-01,BENITO JUAREZ,199
2019-03-01,COYOACAN,189
2019-03-01,CUAJIMALPA,28
2019-03-01,CUAUHTEMOC,365
2019-03-01,GUSTAVO A. MADERO,259
2019-03-01,IZTACALCO,115
2019-03-01,IZTAPALAPA,454
2019-03-01,MAGDALENA CONTRERAS,39
2019-03-01,MIGUEL HIDALGO,151
2019-03-01,MILPA ALTA,22
2019-03-01,TLAHUAC,58
2019-03-01,TLALPAN,163
2019-03-01,VENUSTIANO CARRANZA,165
2019-03-01,XOCHIMILCO,128
2019-05-01,ALVARO OBREGON,120
2019-05-01,AZCAPOTZALCO,115
2019-05-01,BENITO JUAREZ,139
2019-05-01,COYOACAN,150
2019-05-01,CUAJIMALPA,30
2019-05-01,CUAUHTEMOC,350
2019-05-01,GUSTAVO A. MADERO,254
2019-05-01,IZTACALCO,118
2019-05-01,IZTAPALAPA,374
2019-05-01,MAGDALENA CONTRERAS,30
2019-05-01,MIGUEL HIDALGO,141
2019-05-01,MILPA ALTA,13
2019-05-01,TLAHUAC,57
2019-05-01,TLALPAN,156
2019-05-01,VENUSTIANO CARRANZA,135
2019-05-01,XOCHIMILCO,85
2019-11-01,ALVARO OBREGON,196
2019-11-01,AZCAPOTZALCO,168
2019-11-01,BENITO JUAREZ,180
2019-11-01,COYOACAN,216
2019-11-01,CUAJIMALPA,31
2019-11-01,CUAUHTEMOC,478
2019-11-01,GUSTAVO A. MADERO,321
2019-11-01,IZTACALCO,108
2019-11-01,IZTAPALAPA,523
2019-11-01,MAGDALENA CONTRERAS,62
2019-11-01,MIGUEL HIDALGO,254
2019-11-01,MILPA ALTA,17
2019-11-01,TLAHUAC,64
2019-11-01,TLALPAN,209
2019-11-01,VENUSTIANO CARRANZA,236
2019-11-01,XOCHIMILCO,124
2019-10-01,ALVARO OBREGON,163
2019-10-01,AZCAPOTZALCO,149
2019-10-01,BENITO JUAREZ,149
2019-10-01,COYOACAN,172
2019-10-01,CUAJIMALPA,55
2019-10-01,CUAUHTEMOC,487
2019-10-01,GUSTAVO A. MADERO,329
2019-10-01,IZTACALCO,129
2019-10-01,IZTAPALAPA,501
2019-10-01,MAGDALENA CONTRERAS,52
2019-10-01,MIGUEL HIDALGO,237
2019-10-01,MILPA ALTA,10
2019-10-01,TLAHUAC,74
2019-10-01,TLALPAN,197
2019-10-01,VENUSTIANO CARRANZA,221
2019-10-01,XOCHIMILCO,93
2019-09-01,ALVARO OBREGON,144
2019-09-01,AZCAPOTZALCO,115
2019-09-01,BENITO JUAREZ,152
2019-09-01,COYOACAN,210
2019-09-01,CUAJIMALPA,38
2019-09-01,CUAUHTEMOC,433
2019-09-01,GUSTAVO A. MADERO,229
2019-09-01,IZTACALCO,140
2019-09-01,IZTAPALAPA,431
2019-09-01,MAGDALENA CONTRERAS,36
2019-09-01,MIGUEL HIDALGO,210
2019-09-01,MILPA ALTA,12
2019-09-01,TLAHUAC,63
2019-09-01,TLALPAN,164
2019-09-01,VENUSTIANO CARRANZA,218
2019-09-01,XOCHIMILCO,139
2020-04-01,ALVARO OBREGON,56
2020-04-01,AZCAPOTZALCO,32
2020-04-01,BENITO JUAREZ,62
2020-04-01,COYOACAN,33
2020-04-01,CUAJIMALPA,12
2020-04-01,CUAUHTEMOC,119
2020-04-01,GUSTAVO A. MADERO,132
2020-04-01,IZTACALCO,38
2020-04-01,IZTAPALAPA,224
2020-04-01,MAGDALENA CONTRERAS,18
2020-04-01,MIGUEL HIDALGO,38
2020-04-01,MILPA ALTA,9
2020-04-01,TLAHUAC,41
2020-04-01,TLALPAN,40
2020-04-01,VENUSTIANO CARRANZA,82
2020-04-01,XOCHIMILCO,36
2020-01-01,ALVARO OBREGON,189
2020-01-01,AZCAPOTZALCO,121
2020-01-01,BENITO JUAREZ,97
2020-01-01,COYOACAN,138
2020-01-01,CUAJIMALPA,21
2020-01-01,CUAUHTEMOC,376
2020-01-01,GUSTAVO A. MADERO,262
2020-01-01,IZTACALCO,124
2020-01-01,IZTAPALAPA,465
2020-01-01,MAGDALENA CONTRERAS,23
2020-01-01,MIGUEL HIDALGO,180
2020-01-01,MILPA ALTA,12
2020-01-01,TLAHUAC,61
2020-01-01,TLALPAN,129
2020-01-01,VENUSTIANO CARRANZA,183
2020-01-01,XOCHIMILCO,108
2020-02-01,ALVARO OBREGON,131
2020-02-01,AZCAPOTZALCO,129
2020-02-01,BENITO JUAREZ,167
2020-02-01,COYOACAN,160
2020-02-01,CUAJIMALPA,37
2020-02-01,CUAUHTEMOC,351
2020-02-01,GUSTAVO A. MADERO,276
2020-02-01,IZTACALCO,146
2020-02-01,IZTAPALAPA,450
2020-02-01,MAGDALENA CONTRERAS,46
2020-02-01,MIGUEL HIDALGO,186
2020-02-01,MILPA ALTA,19
2020-02-01,TLAHUAC,69
2020-02-01,TLALPAN,125
2020-02-01,VENUSTIANO CARRANZA,186
2020-02-01,XOCHIMILCO,102
2020-03-01,ALVARO OBREGON,128
2020-03-01,AZCAPOTZALCO,121
2020-03-01,BENITO JUAREZ,122
2020-03-01,COYOACAN,151
2020-03-01,CUAJIMALPA,14
2020-03-01,CUAUHTEMOC,338
2020-03-01,GUSTAVO A. MADERO,243
2020-03-01,IZTACALCO,100
2020-03-01,IZTAPALAPA,426
2020-03-01,MAGDALENA CONTRERAS,29
2020-03-01,MIGUEL HIDALGO,126
2020-03-01,MILPA ALTA,6
2020-03-01,TLAHUAC,74
2020-03-01,TLALPAN,128
2020-03-01,VENUSTIANO CARRANZA,200
2020-03-01,XOCHIMILCO,106
